model,param_count,batch,config_batch,seq_len,grad_accum,step_ms,tokens_per_s,fwd_flops_per_step_tflop,train_flops_proxy_tflop,achieved_tflops_proxy,peak_alloc_mib,peak_reserved_mib,test_bpb,test_loss_nats,test_eval_iters,test_batch_size
unet,42083840,64,128,1024,2,560.5641640722752,233821.58261386916,3.558984384512,10.676953153536,19.046799345809394,16537.76953125,30868.0,1.2089784435770208,0.8379999995231628,4000,16
baseline_small,9282480,32,32,1024,8,3186.967660486698,82254.99218274673,7.4088185856,22.2264557568,6.974170473196984,24408.3486328125,26592.0,1.176828686951618,0.8157154863625765,4000,16
baseline,42084864,16,16,1024,8,2245.3289974480867,58375.409638840894,13.7438953472,41.2316860416,18.363316061237168,15427.60791015625,16220.0,1.16788206206505,0.8095141585469245,4000,16
